iter	Logloss
0	0.6469024658
1	0.6076548004
2	0.5713565063
3	0.538890686
4	0.5156585693
5	0.4937995911
6	0.4751107025
7	0.4584341431
8	0.4435548401
9	0.432975235
10	0.4199512863
11	0.4088393021
12	0.3991095352
13	0.389962883
14	0.3842246628
15	0.3779725647
16	0.3728924561
17	0.3688341141
18	0.3657773972
19	0.3624669647
20	0.357685051
21	0.3543499756
22	0.3497945404
23	0.3456838226
24	0.3425647354
25	0.3397370148
26	0.3359304047
27	0.3333551025
28	0.3312771606
29	0.3286181641
30	0.326521759
31	0.325345726
32	0.3242350006
33	0.3222919083
34	0.320723381
35	0.3190903091
36	0.317934742
37	0.3168981934
38	0.3155054283
39	0.3137548828
40	0.3123422241
41	0.3111152458
42	0.3100503922
43	0.3090304565
44	0.3079188919
45	0.306558876
46	0.3057410049
47	0.3044970131
48	0.3031564522
49	0.3017798233
50	0.301330719
51	0.3006437683
52	0.2993656349
53	0.2982104111
54	0.2970453262
55	0.2960322762
56	0.2951055908
57	0.2940682983
58	0.2925972748
59	0.2914424706
60	0.2898497772
61	0.2891561508
62	0.2877007294
63	0.2870470428
64	0.2863510895
65	0.2855844498
66	0.2844189072
67	0.2837622452
68	0.2830693817
69	0.2826342392
70	0.2810877991
71	0.2807704353
72	0.2802609062
73	0.2796260071
74	0.2793464088
75	0.2784544945
76	0.2776589203
77	0.2771140289
78	0.2760393906
79	0.2758624268
80	0.2747663498
81	0.2742438126
82	0.2738521957
83	0.2732557487
84	0.2728216171
85	0.2725596428
86	0.2719409752
87	0.2715895462
88	0.2714243317
89	0.2711186028
90	0.2708024979
91	0.2705536652
92	0.2702377701
93	0.2700487137
94	0.2687385559
95	0.2683703995
96	0.2681399536
97	0.267647438
98	0.2673857117
99	0.266747303
