iter	Passed	Remaining
0	140	13891
1	142	6990
2	144	4682
3	147	3531
4	149	2840
5	151	2377
6	154	2053
7	156	1802
8	158	1607
9	161	1449
10	163	1320
11	165	1212
12	166	1113
13	169	1039
14	171	972
15	173	912
16	175	858
17	178	812
18	180	769
19	182	730
20	184	695
21	187	663
22	189	633
23	191	606
24	193	581
25	196	559
26	199	538
27	202	520
28	204	501
29	207	484
30	210	467
31	212	451
32	214	435
33	216	420
34	219	407
35	221	393
36	223	381
37	226	368
38	228	357
39	230	345
40	232	334
41	235	324
42	237	314
43	239	305
44	241	295
45	243	286
46	246	277
47	248	268
48	250	261
49	253	253
50	255	245
51	257	237
52	259	229
53	261	222
54	263	215
55	266	209
56	268	202
57	271	196
58	273	190
59	276	184
60	278	177
61	280	171
62	283	166
63	285	160
64	287	154
65	289	149
66	291	143
67	293	138
68	295	132
69	298	127
70	300	122
71	302	117
72	304	112
73	307	107
74	309	103
75	311	98
76	313	93
77	316	89
78	319	84
79	321	80
80	323	75
81	325	71
82	327	67
83	330	62
84	333	58
85	335	54
86	337	50
87	339	46
88	342	42
89	344	38
90	346	34
91	348	30
92	351	26
93	353	22
94	355	18
95	357	14
96	359	11
97	361	7
98	364	3
99	366	0
